Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
1,MarutiWagonR1.0LXI,2014,2021,312165,7,4.2,82238,465000,First Owner,Petrol + CNG,Manual,Expired,Rs.4.65 Lakh,4.65
2,ToyotaEtiosLiva,2013,2021,313799,8,4.4,30558,568000,First Owner,Petrol,Manual,12/9/2021,Rs.5.68 Lakh,5.68
3,MarutiAlto800,2018,2021,295999,3,4.8,22164,448000,First Owner,Petrol,Manual,1/12/2020,Rs.4.48 Lakh,4.48
4,MarutiSwift,2013,2021,435199,8,4.3,30535,549000,First Owner,Diesel,Manual,Comp,Rs.5.49 Lakh,5.49
5,MarutiWagonR1.0,2013,2021,289099,8,4.3,15738,498000,First Owner,Petrol,Manual,11/8/2021,Rs.4.98 Lakh,4.98
6,HyundaiElitei20ASTA1.2,2018,2021,708199,3,4.7,32652,900000,First Owner,Petrol,Manual,Comp,Rs.9 Lakh,9
7,HyundaiGrandi10SPORTZ1.2KAPPA,2013,2021,410788,8,4.4,32496,591699,First Owner,Petrol,Manual,Expired,"Rs.591,699","591,699"
8,HyundaiElitei20ASTA,2015,2021,606599,6,4.6,27487,907235,First Owner,Petrol,Manual,22-03-2021,"9,07,235",907235
9,MarutiCelerio,2018,2021,459199,3,4.4,41383,453000,First Owner,Petrol,Manual,6/3/2021,Rs.4.53 Lakh,4.53
10,MarutiWagonR1.0,2012,2021,265899,9,4.3,65476,498000,First Owner,Petrol + CNG,Manual,23-10-2021,Rs.4.98 Lakh,4.98
11,MarutiSwiftDzireVXI1.2BS,2013,2021,426999,8,4.4,27992,657000,First Owner,Petrol,Manual,26-05-2021,Rs.6.57 Lakh,6.57
12,MarutiDzire,2018,2021,671499,3,4.8,14061,750000,First Owner,Petrol,Manual,11/7/2021,Rs.7.50 Lakh,7.5
13,HondaCivic1.8S,2007,2021,146870,14,4,52138,1550000,Third Owner,Petrol,Manual,Expired,Rs.15.50 Lakh,15.5
14,MarutiAltoK10VXI,2014,2021,290099,7,3.9,46410,394000,Second Owner,Petrol,Automatic,,Rs.3.94 Lakh,3.94
15,MarutiAlto800LXI,2016,2021,285399,5,4.2,47168,363000,First Owner,Petrol + CNG,Manual,17-03-2021,Rs.3.63 Lakh,3.63
16,HyundaiVernaFLUIDIC1.6EX,2013,2021,529699,8,4.2,72813,999000,First Owner,Petrol + CNG,Manual,9/1/2022,Rs.9.99 Lakh,9.99
17,ToyotaEtiosCROSS1.4,2015,2021,424399,6,4.3,79123,756000,First Owner,Diesel,Manual,7/7/2021,Rs.7.56 Lakh,7.56
18,HondaCitySVCVT,2016,2021,615799,5,4.4,72097,1294000,First Owner,Petrol,Automatic,2/2/2021,Rs.12.94 Lakh,12.94
19,VolkswagenVentoHIGHLINE,2014,2021,413999,7,4.3,151201,1209000,First Owner,Diesel,Manual,10/8/2021,12.09 Lakh,12.09
20,Hyundaii20MAGNAO,2012,2021,328199,9,4.3,73356,679000,First Owner,Petrol,Manual,29-07-2021,Rs.6.79 Lakh,6.79
21,VolkswagenPoloGT,2018,2021,948899,3,4.9,14516,992000,First Owner,Petrol,Manual,7/10/2021,Rs.9.92 Lakh,9.92
22,MahindraTUV300,2016,2021,656399,5,4.5,34658,1080000,First Owner,Diesel,Manual,2/7/2021,Rs.10.80 Lakh,10.8
23,HondaAmaze1.5VCVT,2018,2021,698899,3,4.5,53486,1013000,First Owner,Diesel,Automatic,Third_party,Rs.10.13 Lakh,10.13
24,TataNanoXT,2014,2021,100599,7,4.3,35905,292667,First Owner,Petrol,Manual,24-11-2021,"Rs.2,92,667","292,667"
25,RenaultKwid,2016,2021,250399,5,4.2,39278,312000,Second Owner,Petrol,Manual,21-11-2021,Rs.3.12 Lakh,3.12
26,MarutiAltoK10,2017,2021,309999,4,4.7,36245,400000,First Owner,Petrol,Manual,23-09-2021,Rs.4 Lakh,4
27,HyundaiElitei20SPORTZ,2015,2021,518099,6,4.4,61923,722000,First Owner,Petrol,Manual,Expired,Rs.7.22 Lakh,7.22
28,MarutiZenEstilo,2010,2021,211799,11,4.2,39612,395000,Third Owner,Petrol,Manual,13-06-2021,Rs.3.95 Lakh,3.95
29,MarutiCelerioZXI,2015,2021,332627,6,4.3,58558,558000,First Owner,Petrol,Automatic,9/11/2021,Rs.5.58 Lakh,5.58
30,MarutiSwiftDzireVDIBS,2013,2021,477214,8,4.4,72553,561000,First Owner,Diesel,Manual,Expired,Rs.5.61 Lakh,5.61
31,MarutiBalenoALPHA1.2,2018,2021,669899,3,4.9,13931,910000,First Owner,Petrol,Manual,8/4/2021,Rs.9.1 Lakh,9.1
32,MarutiSwiftVDI,2016,2021,447799,5,4.7,48780,698000,Second Owner,Diesel,Manual,4/4/2021,Rs.6.98 Lakh,6.98
33,TataTiagoXT1.2,2016,2021,318699,5,4.3,86339,606000,First Owner,Petrol,Manual,Expired,Rs.6.06 Lakh,6.06
34,MahindraBoleroPower+,2018,2021,840899,3,4.7,25376,833000,First Owner,Diesel,Manual,16-10-2021,Rs.8.33 Lakh,8.33
35,HyundaiElitei20MAGNA1.4,2017,2021,667699,4,4.8,15683,768000,First Owner,Petrol,Automatic,3/4/2021,Rs.7.68 Lakh,7.68
36,MarutiSX4,2011,2021,210799,10,4.1,117838,825000,First Owner,Diesel,Manual,15-06-2021,Rs.8.25 Lakh,8.25
37,MarutiBalenoDELTA1.2K12,2017,2021,573999,4,4.8,28083,806000,First Owner,Petrol,Automatic,26-09-2021,Rs.8.06 Lakh,8.06
38,MarutiSwiftVXI,2010,2021,315099,11,4.1,45714,619000,Second Owner,Petrol,Manual,Expired,Rs.6.19 Lakh,6.19
39,HondaCityVMT,2011,2021,319399,10,4.4,50615,1110000,First Owner,Petrol,Manual,8/10/2021,Rs.11.10 Lakh,11.1
